season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,Minimum Viable Product,Mike Judge,Mike Judge & John Altschuler & Dave Krinsky,4/6/2014,1980000
1,2,2,The Cap Table,Mike judge,Carson Mell,4/13/2014,1690000
1,3,3,Articles of Incorporation,Tricia Brock,Matteo Borghese & Rob Turbovsky,4/20/2014,1620000
1,4,4,Fiduciary Duties,Maggie Carey,Ron Weiner,4/27/2014,1550000
1,5,5,Signaling Risk,Alec Berg,Jessica Gao,5/4/2014,1820000
1,6,6,Third Party Insourcing,Alec Berg,Dan O'Keefe,5/11/2014,1690000
1,7,7,Proof of Concept,Mike Judge,Clay Tarver,5/18/2014,1680000
1,8,8,Optimal Tip-To-Tip Efficiency,Mike Judge,Alec Berg,6/1/2014,1740000
2,1,9,Sand Hill Shuffle,Mike Judge,Clay Tarver,4/12/2015,2130000
2,2,10,Runaway Devaluation,Mike Judge,Ron Weiner,4/19/2015,
2,3,11,Bad Money,Alec Berg,Alec Berg,4/26/2015,1940000
2,4,12,The Lady,Alec Berg,Carson Mell,5/3/2015,1750000
2,5,13,Server Space,Mike Judge,Sonny Lee,5/10/2015,1530000
2,6,14,Homicide,Mike Judge,Carrie Kemper,5/17/2015,1540000
2,7,15,Adult Content,Alec Berg,Amy Aniobi,5/24/2015,1600000
2,8,16,White Hat/Black Hat,Alec Berg,Daniel Lyons,5/31/2015,1780000
2,9,17,Binding Arbitration,Mike Judge,Dan O'Keefe,6/7/2015,
2,10,18,Two Days of the Condor,Alec Berg,Alec Berg,6/14/2015,2110000
3,1,19,Founder Friendly,Mike Judge,Dan O'Keefe,4/24/2016,1860000
3,2,20,Two in the Box,Mike judge,Ron Weiner,5/1/2016,1720000
3,3,21,Meinertzhagen's Haversack,Charlie McDowell,Adam Countee,5/8/2016,1690000
3,4,22,Maleant Data Systems Solutions,Charlie McDowell,Donick Cary,5/15/2016,1890000
3,5,23,The Empty Chair,Eric Appel,Megan Amram,5/22/2016,1710000
3,6,24,Bachmanity Insanity,Eric Appel,Carson Mell,5/29/2016,1620000
3,7,25,To Build a Better Beta,Jamie Babbit,John Levenstein,6/5/2016,1700000
3,8,26,Bachman's Earnings Over-Ride,Jamie Babbit,Carrie Kemper,6/12/2016,1640000
3,9,27,Daily Active Users,Alec Berg,Clay Tarver,6/19/2016,1630000
3,10,28,The Uptick,Alec Berg,Alec Berg,6/26/2016,2040000
4,1,29,Success Failure,Mike judge,Alec Berg,4/23/2017,
4,2,30,Terms of Service,Mike Judge,Clay Tarver,4/30/2017,762000
4,3,31,Intellectual Property,Jamie Babbit,Carrie Kemper,5/7/2017,774000
4,4,32,Teambuilding Exercise,Jamie Babbit,Meghan Pleticha,5/14/2017,859000
4,5,33,The Blood Boy,Tim Roche,Adam Countee,5/21/2017,844000
4,6,34,Customer Service,Clay Tarver,Graham Wagner & Shawn Boxe,5/28/2017,728000
4,7,35,The Patent Troll,Jamie Babbit,Andrew Law,6/4/2017,862000
4,8,36,The Keenan Vortex,Jamie Babbit,Graham Wagner & Rachele Lynn,6/11/2017,
4,9,37,Hooli-Con,Mike Judge,Chris Provenzano,6/18/2017,840000
4,10,38,Server Error,Mike Judge,Dan O'Keefe,6/25/2017,790000
5,1,39,Grow Fast or Die Slow,Mike Judge,Ron Weiner,3/25/2018,698000
5,2,40,Reorientation,Mike Judge,Carson Mell,4/1/2018,592000
5,3,41,Chief Operating Officer,Jamie Babbit,Carrie Kemper,4/8/2018,624000
5,4,42,Tech Evangelist,Jamie Babbit,Josh Lieb,4/15/2018,610000
5,5,43,Facial Recognition,Gillian Robespierre,Graham Wagner,4/22/2018,858000
5,6,44,Artificial Emotional Intelligence,Matt Ross,Anthony King,4/29/2018,1020000
5,7,45,Initial Coin Offering,Mike Judge,Clay Tarver,5/6/2018,853000
5,8,46,Fifty-One Percent,Alec Berg,Alec Berg,5/13/2018,707000
6,1,47,Artificial Lack of Intelligence,Mike Judge,Ron Weiner,10/27/2019,448000
6,2,48,Blood Money,Mike Judge,Carson Mell,11/3/2019,383000
6,3,49,Hooli Smokes!,Liza Johnson,Sarah Walker,11/10/2019,459000
6,4,50,Maximizing Alphaness,Liza Johnson,Daisy Gardner,11/17/2019,452000
6,5,51,Tethics,Pete Chatmon,Lew Morton,11/24/2019,311000
6,6,52,RussFest,Matt Ross,Carrie Kemper,12/1/2019,414000
6,7,53,Exit Event,Alec Berg,Alec Berg,12/8/2019,454000
